date,symbol,side,entry,exit,quantity,setup,confidence,mistake,notes
2025-07-21,BTCUSDT,SELL,116864.49,116999.03,0.05,Streak Pullback Confirmation,3,none,SIMULATED DATA - not real trading history. bearish 4-candle streak followed by clean 1-candle pullback with midpoint touch. Breaking candle crossed structural target from last_streak_high. Confirmation candle aligned with original trend and closed at 116864.49. Trade hit stop loss first for -1.00R. Setup quality: moderate. Confidence=3/5. Volatility=0.1883%. No major emotional behavior simulated.
2025-07-21,BTCUSDT,BUY,119040,119257.88,0.05,Streak Pullback Confirmation,5,none,SIMULATED DATA - not real trading history. bullish 6-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_low. Confirmation candle aligned with original trend and closed at 119040. Trade exited at configured 119257.88000000 target for 2.00R. Setup quality: excellent. Confidence=5/5. Volatility=0.1544%. No major emotional behavior simulated.
2025-07-22,BTCUSDT,SELL,117694.2,117881.62,0.05,Streak Pullback Confirmation,3,none,SIMULATED DATA - not real trading history. bearish 6-candle streak followed by clean 1-candle pullback with midpoint touch. Breaking candle crossed structural target from last_streak_high. Confirmation candle aligned with original trend and closed at 117694.2. Trade hit stop loss first for -1.00R. Setup quality: moderate. Confidence=3/5. Volatility=0.1911%. No major emotional behavior simulated.
2025-07-23,BTCUSDT,BUY,118251.8,118250,0.05,Streak Pullback Confirmation,2,no patience,"SIMULATED DATA - not real trading history. bullish 4-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_low. Confirmation candle aligned with original trend and closed at 118251.8. Trade hit stop loss first for -1.00R. Setup quality: weak. Confidence=2/5. Volatility=0.0789%. no patience behavior simulated based on setup quality, volatility, and confidence context."
2025-07-24,BTCUSDT,BUY,118960.6,119015.62,0.05,Streak Pullback Confirmation,4,revenge trade,"SIMULATED DATA - not real trading history. bullish 4-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_low. Confirmation candle aligned with original trend and closed at 118960.6. Trade exited at configured 119015.62000000 target for 2.00R. Setup quality: strong. Confidence=4/5. Volatility=0.0679%. revenge trade behavior simulated based on setup quality, volatility, and confidence context."
2025-07-24,BTCUSDT,SELL,118561.71,118624.74,0.05,Streak Pullback Confirmation,4,none,SIMULATED DATA - not real trading history. bearish 6-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_high. Confirmation candle aligned with original trend and closed at 118561.71. Trade hit stop loss first for -1.00R. Setup quality: strong. Confidence=4/5. Volatility=0.0620%. No major emotional behavior simulated.
2025-07-28,BTCUSDT,SELL,119400.65,119159.89,0.05,Streak Pullback Confirmation,4,revenge trade,"SIMULATED DATA - not real trading history. bearish 4-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_high. Confirmation candle aligned with original trend and closed at 119400.65. Trade exited at configured 119159.89000000 target for 2.00R. Setup quality: strong. Confidence=4/5. Volatility=0.1116%. revenge trade behavior simulated based on setup quality, volatility, and confidence context."
2025-07-28,BTCUSDT,BUY,119218.05,119195.89,0.05,Streak Pullback Confirmation,3,none,SIMULATED DATA - not real trading history. bullish 4-candle streak followed by clean 1-candle pullback with midpoint touch. Breaking candle crossed structural target from last_streak_low. Confirmation candle aligned with original trend and closed at 119218.05. Trade hit stop loss first for -1.00R. Setup quality: moderate. Confidence=3/5. Volatility=0.0633%. No major emotional behavior simulated.
2025-07-28,BTCUSDT,BUY,118238.85,118311.01,0.05,Streak Pullback Confirmation,4,none,SIMULATED DATA - not real trading history. bullish 6-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_low. Confirmation candle aligned with original trend and closed at 118238.85. Trade exited at configured 118311.01000000 target for 2.00R. Setup quality: strong. Confidence=4/5. Volatility=0.1405%. No major emotional behavior simulated.
2025-07-28,BTCUSDT,SELL,117934.54,117764.32,0.05,Streak Pullback Confirmation,4,none,SIMULATED DATA - not real trading history. bearish 4-candle streak followed by clean 1-candle pullback with midpoint touch. Breaking candle crossed structural target from last_streak_high. Confirmation candle aligned with original trend and closed at 117934.54. Trade exited at configured 117764.32000000 target for 2.00R. Setup quality: strong. Confidence=4/5. Volatility=0.1270%. No major emotional behavior simulated.
2025-07-30,BTCUSDT,SELL,116259.41,116304,0.05,Streak Pullback Confirmation,3,none,SIMULATED DATA - not real trading history. bearish 8-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_high. Confirmation candle aligned with original trend and closed at 116259.41. Trade hit stop loss first for -1.00R. Setup quality: moderate. Confidence=3/5. Volatility=0.2962%. No major emotional behavior simulated.
2025-07-31,BTCUSDT,BUY,118563.3,118405,0.05,Streak Pullback Confirmation,3,none,SIMULATED DATA - not real trading history. bullish 5-candle streak followed by clean 2-candle pullback with midpoint touch. Breaking candle crossed structural target from last_streak_low. Confirmation candle aligned with original trend and closed at 118563.3. Trade hit stop loss first for -1.00R. Setup quality: moderate. Confidence=3/5. Volatility=0.1441%. No major emotional behavior simulated.
2025-07-31,BTCUSDT,SELL,118077.29,118141.73,0.05,Streak Pullback Confirmation,3,none,SIMULATED DATA - not real trading history. bearish 4-candle streak followed by clean 1-candle pullback with midpoint touch. Breaking candle crossed structural target from last_streak_high. Confirmation candle aligned with original trend and closed at 118077.29. Trade hit stop loss first for -1.00R. Setup quality: moderate. Confidence=3/5. Volatility=0.1676%. No major emotional behavior simulated.
2025-07-31,BTCUSDT,BUY,117858.49,117789.62,0.05,Streak Pullback Confirmation,2,weak confirmation,"SIMULATED DATA - not real trading history. bullish 4-candle streak followed by clean 2-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_low. Confirmation candle aligned with original trend and closed at 117858.49. Trade hit stop loss first for -1.00R. Setup quality: weak. Confidence=2/5. Volatility=0.1509%. weak confirmation behavior simulated based on setup quality, volatility, and confidence context."
2025-08-02,BTCUSDT,SELL,112715.59,112387.57,0.05,Streak Pullback Confirmation,4,no patience,"SIMULATED DATA - not real trading history. bearish 5-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_high. Confirmation candle aligned with original trend and closed at 112715.59. Trade exited at configured 112387.57000000 target for 2.00R. Setup quality: strong. Confidence=4/5. Volatility=0.1716%. no patience behavior simulated based on setup quality, volatility, and confidence context."
2025-08-03,BTCUSDT,SELL,114000.01,113896.55,0.05,Streak Pullback Confirmation,5,none,SIMULATED DATA - not real trading history. bearish 5-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_high. Confirmation candle aligned with original trend and closed at 114000.01. Trade exited at configured 113896.55000000 target for 2.00R. Setup quality: excellent. Confidence=5/5. Volatility=0.0768%. No major emotional behavior simulated.
2025-08-03,BTCUSDT,SELL,114435.47,114462.5,0.05,Streak Pullback Confirmation,3,none,SIMULATED DATA - not real trading history. bearish 4-candle streak followed by clean 1-candle pullback with midpoint touch. Breaking candle crossed structural target from last_streak_high. Confirmation candle aligned with original trend and closed at 114435.47. Trade hit stop loss first for -1.00R. Setup quality: moderate. Confidence=3/5. Volatility=0.0582%. No major emotional behavior simulated.
