date,symbol,side,entry,exit,quantity,setup,confidence,mistake,notes
2025-06-25,GBPAUD,BUY,2.09486,2.09632,10000,Streak Pullback Confirmation,4,none,SIMULATED DATA - not real trading history. bullish 4-candle streak followed by clean 1-candle pullback with midpoint touch. Breaking candle crossed structural target from last_streak_low. Confirmation candle aligned with original trend and closed at 2.09486. Trade exited at configured 2.09632000 target for 2.00R. Setup quality: strong. Confidence=4/5. Volatility=0.0329%. No major emotional behavior simulated.
2025-07-01,GBPAUD,SELL,2.09168,2.09199,10000,Streak Pullback Confirmation,3,none,SIMULATED DATA - not real trading history. bearish 5-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_high. Confirmation candle aligned with original trend and closed at 2.09168. Trade hit stop loss first for -1.00R. Setup quality: moderate. Confidence=3/5. Volatility=0.0222%. No major emotional behavior simulated.
2025-07-02,GBPAUD,SELL,2.07124,2.07126,10000,Streak Pullback Confirmation,3,no patience,"SIMULATED DATA - not real trading history. bearish 5-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_high. Confirmation candle aligned with original trend and closed at 2.07124. Trade hit stop loss first for -1.00R. Setup quality: moderate. Confidence=3/5. Volatility=0.0236%. no patience behavior simulated based on setup quality, volatility, and confidence context."
2025-07-08,GBPAUD,SELL,2.08501,2.08417,10000,Streak Pullback Confirmation,4,weak confirmation,"SIMULATED DATA - not real trading history. bearish 4-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_high. Confirmation candle aligned with original trend and closed at 2.08501. Trade exited at configured 2.08417000 target for 2.00R. Setup quality: strong. Confidence=4/5. Volatility=0.0395%. weak confirmation behavior simulated based on setup quality, volatility, and confidence context."
2025-07-09,GBPAUD,SELL,2.07871,2.07959,10000,Streak Pullback Confirmation,4,overconfidence,"SIMULATED DATA - not real trading history. bearish 6-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_high. Confirmation candle aligned with original trend and closed at 2.07871. Trade hit stop loss first for -1.00R. Setup quality: strong. Confidence=4/5. Volatility=0.0545%. overconfidence behavior simulated based on setup quality, volatility, and confidence context."
2025-07-15,GBPAUD,SELL,2.05024,2.05078,10000,Streak Pullback Confirmation,3,none,SIMULATED DATA - not real trading history. bearish 4-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_high. Confirmation candle aligned with original trend and closed at 2.05024. Trade hit stop loss first for -1.00R. Setup quality: moderate. Confidence=3/5. Volatility=0.0411%. No major emotional behavior simulated.
2025-07-17,GBPAUD,SELL,2.06878,2.06808,10000,Streak Pullback Confirmation,4,none,SIMULATED DATA - not real trading history. bearish 5-candle streak followed by clean 1-candle pullback without midpoint touch. Breaking candle crossed structural target from pullback_high. Confirmation candle aligned with original trend and closed at 2.06878. Trade exited at configured 2.06808000 target for 2.00R. Setup quality: strong. Confidence=4/5. Volatility=0.0422%. No major emotional behavior simulated.
2025-07-17,GBPAUD,SELL,2.06714,2.06754,10000,Streak Pullback Confirmation,3,none,SIMULATED DATA - not real trading history. bearish 4-candle streak followed by clean 1-candle pullback with midpoint touch. Breaking candle crossed structural target from last_streak_high. Confirmation candle aligned with original trend and closed at 2.06714. Trade hit stop loss first for -1.00R. Setup quality: moderate. Confidence=3/5. Volatility=0.0216%. No major emotional behavior simulated.
2025-07-18,GBPAUD,SELL,2.06396,2.06407,10000,Streak Pullback Confirmation,3,none,SIMULATED DATA - not real trading history. bearish 4-candle streak followed by clean 1-candle pullback with midpoint touch. Breaking candle crossed structural target from last_streak_high. Confirmation candle aligned with original trend and closed at 2.06396. Trade hit stop loss first for -1.00R. Setup quality: moderate. Confidence=3/5. Volatility=0.0302%. No major emotional behavior simulated.
2025-07-22,GBPAUD,BUY,2.06735,2.06719,10000,Streak Pullback Confirmation,3,none,SIMULATED DATA - not real trading history. bullish 7-candle streak followed by clean 1-candle pullback with midpoint touch. Breaking candle crossed structural target from last_streak_low. Confirmation candle aligned with original trend and closed at 2.06735. Trade hit stop loss first for -1.00R. Setup quality: moderate. Confidence=3/5. Volatility=0.0278%. No major emotional behavior simulated.
